| Approach / Model | Year (≈) | Relations as nodes | Ontological uniformity | Recursive meta-relations | Structural Limitation (The Gap) | MVEG Resolution (Structural Homoiconicity) |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **Davidsonian Event Semantics** | 1967 | ✅ Yes (events) | ⚠️ Partial | ⚠️ Implicit | **Semantic only.** Provides interpretation logic ($\exists e...$) but lacks a concrete data structure or operational semantics for computation. | **Concrete Implementation.** MVEG reifies events/relations into physical vertices with explicitly defined incoming/outgoing edges, making the semantics executable. |
| **Hypergraphs** (node-edge form) | 1970s | ✅ Yes (hyperedge-nodes) | ⚠️ Partial | ❌ No | **Lack of Identity.** Standard hypergraphs ($E \subseteq P(V)$) treat edges as sets without unique identity. Ubergraphs allow recursion ($E \subseteq P(V \cup E)$) but lack a defined execution model.[1, 2] | **Identity via Meta-Vertex.** Every edge is a specific `Meta Vertex` with a unique ID independent of its contents, distinguishing "structural containment" from "execution history." |
| **Conceptual Graphs** (J. F. Sowa) | 1976 | ✅ Yes | ❌ No (concept / relation) | ⚠️ Limited | **Ontological Bloat.** Maintains distinct primitives for concepts and relations. Lacks operational semantics, preventing uniform recursion as a programming model. | **Unified Ontology.** MVEG uses a single primitive (Vertex) for both concepts and relations, simplifying the meta-model to a single point of truth. |
| **Datalog / HiLog** | 1977 / 1989 | ⚠️ Partial (predicates as terms) | ❌ No (predicates vs terms) | ⚠️ Logical only | **Computational vs. Structural.** Relations exist as language-level predicates. Even in HiLog, "predicates as terms" is syntactic sugar; they are not stored as traversable nodes with native "incoming edges" in memory.[3, 4] | **Structural Execution.** MVEG implements higher-order logic physically. Direct support for `incoming edges` allows O(1) navigation to relation instances, enabling the graph to act as the program counter. |
| **Topic Maps** (ISO/IEC 13250) | 1999 | ✅ Yes (associations) | ❌ No (topic / assoc / role) | ❌ No | **The "TAMD" Fracture.** Strictly separates Topics, Associations, and Roles. An association cannot play a role in another association without explicit, heavy reification (converting Association to Topic).[5, 6] | **Ontological Parsimony.** MVEG treats the "meta" level simply as a pointer to another Vertex. No conversion between "Edge" and "Node" types is required; everything is always a Vertex. |
| **RDF / RDF-Star** | 1999 / 2014 | ❌ No (predicates) | ❌ No (S / P / O) | ⚠️ Limited | **Referential Opacity (Identity Crisis).** RDF-Star quoted triples `<<S P O>>` are treated as values/types, not unique instances. It cannot natively distinguish two identical events (e.g., "Alice buys Book" at 10 AM vs 11 AM) without adding artificial transaction IDs.[7, 8] | **Navigational Meta-Nodes (Instance Identity).** The `Meta Vertex` is a unique instance. Two identical relations (same source/target) are distinct vertices (events), allowing native modeling of process history and loops. |
| **Property Graphs** (Neo4j et al.) | ~2005 | ❌ No (edges only) | ❌ No | ❌ No | **Second-class Citizen.** Edge attributes exist, but relations (edges) cannot be nodes in other relations. Requires "intermediate nodes" pattern to simulate meta-edges, bloating the graph. | **First-class Relations.** By pointing a `Meta Vertex` to a `Vertex`, relations become addressable entities capable of having their own meta-definitions naturally. |
| **OpenCog AtomSpace** | ~2008 | ✅ Yes (Links) | ✅ Yes (Atoms) | ✅ Yes | **Content-Addressable Identity.** Links are identified by their outgoing set (target nodes). `ListLink(A, B)` is a singleton; you cannot have multiple instances of the same relation structure (e.g., for temporal sequences) without wrapping them in extra contexts.[9] | **Instance-Based Execution.** MVEG assigns unique identity to every relation instance. This enables the graph to serve as a *trace* of computation (history), not just a static knowledge store (e.g., distinguishing two identical function calls). |
| **TypeDB** (PERA Model) | ~2016 | ✅ Yes (Relation types) | ❌ No (Entity vs Relation) | ✅ Yes | **Schema Rigidity & Dualism.** While relations are first-class, TypeDB enforces a strict schema separation between Entities and Relations.[10, 11] It lacks homoiconicity: you cannot easily use the graph structure to define the logic that modifies the graph. | **Homoiconic Monism.** MVEG unifies Entity/Relation into a single `Vertex`. This lack of rigid typing allows the graph to define its own execution logic dynamically (Code = Data), creating a true Graph OS substrate. |
